--------- beginning of system
I/Vold    (  247): Vold 2.1 (the revenge) firing up
D/Vold    (  247): Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
D/Vold    (  247): Volume uicc0 state changing -1 (Initializing) -> 0 (No-Media)
D/Vold    (  247): Volume uicc1 state changing -1 (Initializing) -> 0 (No-Media)
D/Vold    (  247): Volume uicc1 state changing -1 (Initializing) -> 0 (No-Media)
D/Vold    (  247): Volume usbotg state changing -1 (Initializing) -> 0 (No-Media)
D/Vold    (  247): Volume uicc0 state changing -1 (Initializing) -> 0 (No-Media)
D/Vold    (  247): Volume uicc1 state changing -1 (Initializing) -> 0 (No-Media)
I/Cryptfs (  247): Check if PFE is activated on Boot
E/Cryptfs (  247): Bad magic for real block device /dev/block/bootdevice/by-name/userdata
E/Cryptfs (  247): Error getting crypt footer and key
I/irsc_util(  283): irsc tool created:0xb837d038
I/irsc_util(  283): Starting irsc tool
I/irsc_util(  283): Trying to open sec config file
I/irsc_util(  283): file_parser Number of element :0
I/irsc_util(  283): file_parser Invalid Format or Comment - '/* IPC Security Config */
I/irsc_util(  283): '
I/irsc_util(  283): file_parser Number of element :0
I/irsc_util(  283): file_parser Invalid Format or Comment - '/* <GPS QMI Service ID - 16>:<GPS QMI Instance ID - all instances>:<Client Group ID> */
I/irsc_util(  283): '
I/irsc_util(  283): file_parser Number of element :4
I/irsc_util(  283): file_parser Number of element :0
I/irsc_util(  283): file_parser Invalid Format or Comment - '/* Allow SS CTL service to be used by system and net_raw processes */
I/irsc_util(  283): '
I/irsc_util(  283): file_parser Number of element :4
I/irsc_util(  283): file_parser Number of element :0
I/irsc_util(  283): file_parser Invalid Format or Comment - '/* Allow Sensor services to be used by sensor process */
I/irsc_util(  283): '
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
I/irsc_util(  283): file_parser Number of element :3
